ts_utc,k,c,n,p,server_ts
2026-09-01T00:03:05Z,2221,739,12392,0,1788220812
2026-09-01T00:08:05Z,2217,732,12307,0,1788221112
2026-09-01T00:13:05Z,2217,732,12307,0,1788221410
2026-09-01T00:18:05Z,2217,732,12307,0,1788221711
2026-09-01T00:23:05Z,2217,732,12307,0,1788222010
2026-09-01T00:28:05Z,2216,733,12307,0,1788222309
2026-09-01T00:33:05Z,2216,733,12307,0,1788222610
2026-09-01T00:38:05Z,2216,732,12307,0,1788222910
2026-09-01T00:43:05Z,2216,732,12307,0,1788223210
2026-09-01T00:48:05Z,2216,732,12307,0,1788223507
2026-09-01T00:53:05Z,2216,732,12307,0,1788223808
